query	Q27749	P02287	P02290	P04735	P06145	P06146	P07794	P13281	P16887	P16888	P02257	P06144	P07796	P15869	P15870	P19375	Q99284	A0A2G8JXS7	A0A2Z5U3Q6	A0A7M7NK35	A0A8B7Y813	A0A8B7Y9T9	A0A9Q1BUN4	P19376	Q99282	O13777	O13881	P02293	P04909	P04911	P04913	P34225	P36008	P38340	P53250	P53322	P53551	P53729	P0CN98	P48989	Q6CK60	Q6FWM7	Q6FWM8	Q74ZL4	Q74ZL5	Q6FJX6	Q75C22	Q8J0U2	Q9P8F8	Q9UV33	D2Y1X6	G5EDE1	P92507	Q18336	Q24255	Q2XQ09	A0A0P0E482	C0HJQ7	C0JAT9	P08515	P35068	Q05831	D2Y2C6	D2Y2Q6	P06894	P22975	P35060	P40265	Q86QH9	Q86QI0	Q86SE1	B3EWU8	D2Y2F4	P27204	S0F209	D4A3K5	P04908	P06349	P10412	P15865	P16402	P16403	P22492	P80294	Q07133	Q0V7M1	Q3HNG7	Q64478	Q75WM6	Q8CGP6	Q8CJI4	Q8IZA3	Q8N1T3	Q8VIK3	Q91YA2	Q92522	Q93079	Q9ULR3	P06348	P40286
P06144											77.4	0.0	160.0	142.0	72.4	108.0	80.1		109.0				18.9		79.0			22.7						19.6			45.8			23.1	21.6		22.3		21.6	33.1	51.6	50.8	67.8	66.6				62.0	18.9	18.9	18.1					62.4			80.5	34.3	108.0	106.0	60.1	59.7				22.3		56.2		45.4	57.0	58.9	57.8	57.0	47.0		47.8		62.8		28.9		29.6	60.5		53.1		55.5			49.7	50.8
P07796				21.2							79.0	160.0	0.0	146.0	68.2	105.0	85.5		106.0	19.2	20.8	20.4			70.1			26.2			18.9						47.8		21.2	25.0	25.4	19.2	25.0		24.3	32.7	53.9	49.7	57.4	57.8				67.4	20.4		18.1					64.3			84.3	39.7	96.3	99.8	61.6	62.0				21.2		54.7	19.6	43.5	50.8	52.4	50.8	50.4	45.1		46.2		65.9		25.0	19.6	23.9	59.3		53.1		42.7			45.1	45.8
P15869											66.2	142.0	146.0	0.0	67.4	104.0	70.1		105.0		19.2	19.2			83.6			21.6									48.9			21.9	24.6		21.2		20.8	34.7	53.1	53.5	57.4	63.9				61.2								60.1			65.9	35.4	97.8	90.5	56.6	55.1				20.8		65.9		47.4	51.2	53.1	52.8	52.0	47.0		48.9		64.3		26.6		31.6	64.3		60.8		48.9			47.4	49.3
P15870						18.1					61.6	72.4	68.2	67.4	0.0	75.1	63.2		75.5				18.1		41.2			18.1			20.8						59.7			20.4	18.9		18.1		19.2	38.1	66.2	62.4	54.7	73.9				75.1								43.9			50.8	42.4	66.6	67.8	41.2	43.1				18.5		41.6		40.4	40.8	43.1	41.6	42.7	36.6		45.1		46.2		18.9		20.8	42.4		44.7		41.2		18.5	42.0	38.1
P19375											66.2	108.0	105.0	104.0	75.1	0.0	68.6		190.0						65.5			17.7					18.5				45.1		18.5		18.5		19.2	18.5	18.1	35.8	51.2	56.2	57.4	71.6				56.2								52.0			79.7	37.4	94.4	94.7	50.4	48.9						53.1		43.1	58.2	59.3	58.2	60.8	46.2		43.9		59.3		21.2		27.3	56.2		48.9		49.3			43.9	44.3
Q99284			17.3			25.0			21.6		120.0	80.1	85.5	70.1	63.2	68.6	0.0	20.0	66.6					19.2	45.8												42.0									33.5	31.2	38.9	40.0	45.8				60.8							16.5	56.2			68.2	44.3	65.1	64.3	55.1	57.0						37.7		30.8	36.2	36.2	36.6	39.3	33.9		31.6		38.1		22.7		23.1	37.7		39.7		38.9			32.3	31.6
A0A2G8JXS7											20.0						20.0	0.0		238.0	195.0	219.0	363.0											20.8				20.8																													19.2				16.9																													
A0A2Z5U3Q6											63.9	109.0	106.0	105.0	75.5	190.0	66.6		0.0						67.4		21.2	19.2									45.4				17.7				19.6	36.6	51.6	57.0	59.3	73.9				57.0								50.4			79.0	36.6	94.4	97.1	48.5	46.6						55.5		44.7	61.6	62.4	61.6	64.3	48.1		45.8		58.9		18.5		26.2	56.6		49.7		50.8			45.8	46.6
A0A7M7NK35											21.2		19.2					238.0		0.0	224.0	254.0	254.0												19.6											20.0								25.8									17.3								18.5																						20.4							
A0A8B7Y813				17.7							25.8		20.8	19.2				195.0		224.0	0.0	627.0	206.0																							19.6																		17.7		18.9					18.9		18.1															17.7					21.9				17.7			
A0A8B7Y9T9				17.7							25.4		20.4	19.2				219.0		254.0	627.0	0.0	234.0																							19.6		18.5																20.8		18.9					18.9		20.0															17.7					21.9				17.7			
A0A9Q1BUN4											22.3	18.9			18.1			363.0		254.0	206.0	234.0	0.0																													20.4					18.9														16.9				18.1						18.5			16.5					20.0							20.4				
P19376											17.7						19.2							0.0																																																																18.1									18.5			
Q99282											41.2	79.0	70.1	83.6	41.2	65.5	45.8		67.4						0.0												32.3									21.9	33.5	30.8	33.9	37.0				36.2								32.0			35.0	19.2	54.3	54.7	32.7	33.1				18.5		45.8		45.4	48.9	48.1	48.5	47.8	43.9		45.1		30.0	19.2			26.9	28.5		33.9		42.7	19.2		40.4	42.7
O13777				18.1																						0.0	21.6			18.5												18.9						20.0						18.9																							19.2													19.2			20.0							
O13881																			21.2							21.6	0.0																																																			22.7							21.2								22.3							
P02293	163.0	168.0	162.0	23.9	164.0	161.0	167.0		157.0	173.0		22.7	26.2	21.6	18.1	17.7			19.2									0.0	24.6	24.6	202.0		21.6				20.0		26.6	234.0	243.0	25.8	243.0	24.6	239.0	18.1															169.0						17.7	19.6									22.3		23.1	17.7	19.6	21.9						180.0		22.3				19.2			181.0			
P04909	21.2	24.6	23.1	187.0	22.3		24.3		21.6	23.9																		24.6	0.0	202.0	24.6								185.0	24.3	24.3	193.0	24.6	213.0	25.0				18.9												23.5																196.0											24.3		196.0				17.7			24.3			
P04911	21.2	23.9	23.1	187.0	22.3	21.6	23.9		20.8																	18.5		24.6	202.0	0.0	25.0								186.0	24.6	24.6	249.0	25.0	252.0	26.2				18.9												23.5																192.0									20.4		23.9		192.0					18.5		23.9	17.7		
P04913	163.0	167.0	163.0	23.9	160.0	158.0	167.0		154.0	171.0			18.9		20.8													202.0	24.6	25.0	0.0						20.0		27.3	194.0	196.0	25.8	200.0	24.6	196.0	18.1				20.0							18.1				170.0													17.7			22.3											172.0		22.3							172.0		18.9	
P34225			17.7						18.1																							0.0			20.0														18.5								18.1														18.1		17.7										19.6													18.5				
P36008																18.5												21.6					0.0			21.2				19.6	19.2								22.3											21.6		20.4		17.3	18.1		19.6									20.4						19.6												19.6		18.9				
P38340												19.6						20.8																0.0																									19.6															18.5																			19.6							
P53250																				19.6												20.0			0.0		20.8	21.6																	19.6		20.4					21.6	17.3						20.8	23.5				17.3																			20.0							
P53322																																	21.2			0.0		20.4														19.6	19.6		20.0		19.6			20.0			17.3																																			20.0		
P53551	17.7	17.7	18.9			17.7				17.7	30.4	45.8	47.8	48.9	59.7	45.1	42.0		45.4						32.3			20.0			20.0				20.8		0.0			20.8	20.8		23.5		21.6	158.0	86.3	77.4	77.0	87.4				46.6			18.9					40.0			35.0	39.3	40.0	34.7	36.6	35.0				20.8	17.3	23.5		24.6	25.0	24.6	23.9	24.3	23.5		24.3		35.0	19.2				35.8		45.8		29.3	20.0		26.9	22.7
P53729																		20.8																	21.6	20.4		0.0																																	19.2																						20.4							
P0CN98		26.6	25.0	183.0		22.7	26.2						21.2			18.5												26.6	185.0	186.0	27.3								0.0	27.3	30.4	187.0	26.6	201.0	28.1				19.2					19.2	19.6						26.2															17.7	193.0	17.7							18.1			25.8		193.0							26.2			
P48989	166.0	171.0	163.0	23.9	164.0	161.0	169.0		159.0	173.0		23.1	25.0	21.9	20.4													234.0	24.3	24.6	194.0		19.6				20.8		27.3	0.0	231.0	25.8	229.0	24.6	229.0	19.6															174.0							20.0									22.3	18.1	18.9	24.3	17.7	22.7						177.0		22.3	20.0	18.9					177.0			
Q6CK60	161.0	164.0	160.0	23.9	162.0	160.0	168.0		156.0	170.0		21.6	25.4	24.6	18.9	18.5			17.7									243.0	24.3	24.6	196.0		19.2				20.8		30.4	231.0	0.0	25.4	231.0	24.6	249.0	18.1															168.0				17.3		19.6	18.9									22.3		22.7	21.2	20.0	19.2				20.0		174.0		21.9							174.0			
Q6FWM7	21.6	25.0	24.3	186.0	23.5	21.6	25.0		21.9				19.2													18.9		25.8	193.0	249.0	25.8								187.0	25.8	25.4	0.0	26.2	239.0	27.3				18.9												25.0						17.7										191.0		19.6	19.2		22.3				18.9		25.0		191.0					18.5		25.0			
Q6FWM8	166.0	167.0	165.0	24.3	165.0	161.0	171.0		157.0	175.0		22.3	25.0	21.2	18.1	19.2												243.0	24.6	25.0	200.0						23.5		26.6	229.0	231.0	26.2	0.0	25.0	233.0	18.5															169.0							19.6			18.5						22.7		17.7	18.9		22.7				17.7		180.0		22.7					17.7	18.9	180.0			
Q74ZL4	21.9	24.3	23.1	195.0	22.3	21.9	27.3		22.3							18.5												24.6	213.0	252.0	24.6								201.0	24.6	24.6	239.0	25.0	0.0	25.8				18.5												24.3																199.0					18.9			17.3	18.1		23.9		200.0							23.9	17.7		
Q74ZL5	164.0	166.0	163.0	24.6	164.0	162.0	172.0		158.0	173.0		21.6	24.3	20.8	19.2	18.1			19.6									239.0	25.0	26.2	196.0						21.6		28.1	229.0	249.0	27.3	233.0	25.8	0.0	19.2															170.0				18.5			18.9						17.3		19.2	23.1		25.4	22.3	20.0	20.0				17.7		176.0		23.1					17.7		176.0			
Q6FJX6							17.7				28.5	33.1	32.7	34.7	38.1	35.8	33.5		36.6	20.0	19.6	19.6			21.9			18.1			18.1						158.0			19.6	18.1		18.5		19.2	0.0	76.6	62.8	55.8	63.9				42.0		20.0			18.9			33.5			33.5	34.7	32.0	34.7	29.6	28.5						19.2							18.5				32.7					40.8		42.4		20.0			18.5	18.5
Q75C22										17.7	30.8	51.6	53.9	53.1	66.2	51.2	31.2		51.6						33.5												86.3									76.6	0.0	73.2	76.3	92.8				42.7								41.6			31.2	35.0	34.7	47.0	37.4	34.7	18.9			18.5	17.3	31.6		30.0	26.9	28.9	28.1	28.1	23.9		31.2	20.4	32.7					33.9		35.8		27.7			30.4	25.4
Q8J0U2											42.0	50.8	49.7	53.5	62.4	56.2	38.9		57.0			18.5			30.8	20.0											77.4									62.8	73.2	0.0	116.0	86.3				49.7								53.9			34.7	37.4	40.4	45.1	49.3	44.3				17.3		26.2		28.9	25.8	27.7	27.3	27.3	30.4		32.0		44.3				21.6	41.6		47.0		21.2			30.8	32.7
Q9P8F8				21.2							38.5	67.8	57.4	57.4	54.7	57.4	40.0		59.3						33.9				18.9	18.9		18.5	22.3				77.0		19.2			18.9		18.5		55.8	76.3	116.0	0.0	92.4				42.0			17.7					49.3			40.0	41.2	49.7	48.9	45.4	42.7				18.1		26.9	20.4	27.7	29.6	31.6	28.1	29.3	33.9		27.7		36.6			20.8	18.5	41.2		34.3		31.2			29.3	32.7
Q9UV33											38.1	66.6	57.8	63.9	73.9	71.6	45.8		73.9						37.0						20.0						87.4									63.9	92.8	86.3	92.4	0.0				52.0	18.9		18.9					48.1	19.6		40.4	35.0	57.4	61.2	42.0	37.0						38.9		33.9	35.4	35.0	35.8	38.1	28.5		34.3		45.8					45.8		49.3		29.3			28.9	31.6
D2Y1X6																																																			0.0												21.9																												16.9									
G5EDE1																							20.4													19.6																0.0																																																
P92507											19.6																									19.6																	0.0																																															
Q18336											67.0	62.0	67.4	61.2	75.1	56.2	60.8		57.0	25.8					36.2	18.9											46.6		19.2							42.0	42.7	49.7	42.0	52.0				0.0								45.1			52.0	28.1	52.8	54.3	41.6	42.0						39.3		36.6	34.7	35.0	35.0	35.0	37.7		36.6		41.2					38.9		34.7	20.0	26.6		21.6	35.0	37.4
Q24255											22.3	18.9	20.4																						19.6	20.0			19.6											18.9					0.0																																													
Q2XQ09												18.9																																		20.0										0.0			277.0																16.5									17.7										20.8						
A0A0P0E482										18.1		18.1	18.1										18.9								18.1	18.1			20.4	19.6	18.9												17.7	18.9							0.0				17.3					17.7										18.9																								
C0HJQ7																																																										0.0																																										
C0JAT9																																		19.6												18.9										277.0			0.0																													17.7									17.3	23.1		
P08515																																	21.6			20.0																								0.0				16.9		17.7																																		
P35068	177.0	184.0	178.0	25.4	178.0	173.0	187.0		176.0	189.0							16.5											169.0	23.5	23.5	170.0								26.2	174.0	168.0	25.0	169.0	24.3	170.0												17.3				0.0																22.3									17.7	18.1	192.0		22.3					18.1		192.0			
Q05831		18.1									52.8	62.4	64.3	60.1	43.9	52.0	56.2		50.4						32.0								20.4		21.6		40.0									33.5	41.6	53.9	49.3	48.1				45.1								0.0			43.1	48.9	42.7	39.3	275.0	216.0				18.1		28.5		27.3	23.1	28.1	22.7	24.3	28.1		27.7		68.6		20.4		29.6	63.9		60.1		18.5			25.8	25.8
D2Y2C6																				17.3															17.3	17.3														19.6	21.9												0.0															18.5							18.5				17.3		17.7							20.0		
D2Y2Q6																					17.7	20.8											17.3																											16.9				0.0									127.0																											
P06894		19.2									70.9	80.5	84.3	65.9	50.8	79.7	68.2		79.0						35.0								18.1				35.0				17.3				18.5	33.5	31.2	34.7	40.0	40.4				52.0								43.1			0.0	25.8	82.4	91.7	44.7	44.7						38.5		32.7	44.3	44.3	43.1	44.3	40.8		36.2		50.1		23.9		26.2	48.9		43.9		33.5			34.7	36.6
P22975											40.8	34.3	39.7	35.4	42.4	37.4	44.3		36.6		18.9	18.9			19.2												39.3									34.7	35.0	37.4	41.2	35.0				28.1			17.7			17.7		48.9			25.8	0.0	29.6	28.1	50.4	47.8				35.4							18.5						34.3		17.3			35.0		36.6						
P35060									18.9		63.5	108.0	96.3	97.8	66.6	94.4	65.1	19.2	94.4						54.3			17.7					19.6				40.0				19.6	17.7				32.0	34.7	40.4	49.7	57.4				52.8								42.7			82.4	29.6	0.0	99.8	47.4	46.6						61.6		50.8	60.1	61.2	60.5	60.5	61.2		51.2		63.2		23.5		27.7	63.9		54.7		53.5			52.4	57.4
P40265											72.4	106.0	99.8	90.5	67.8	94.7	64.3		97.1						54.7			19.6									34.7			20.0	18.9		19.6		18.9	34.7	47.0	45.1	48.9	61.2				54.3								39.3			91.7	28.1	99.8	0.0	38.5	37.4						58.9		51.6	53.9	55.8	55.8	54.7	49.7		52.8		64.7		29.6		27.3	61.2		53.5		45.1			47.8	50.4
Q86QH9		18.5								17.3	52.0	60.1	61.6	56.6	41.2	50.4	55.1		48.5						32.7										20.8		36.6									29.6	37.4	49.3	45.4	42.0				41.6								275.0			44.7	50.4	47.4	38.5	0.0	229.0				18.5		27.7		27.7	28.5	31.2	25.0	26.6	27.3		28.1		63.9		20.4		24.3	59.7		61.2		18.5			24.3	24.6
Q86QI0											48.1	59.7	62.0	55.1	43.1	48.9	57.0		46.6						33.1										23.5		35.0									28.5	34.7	44.3	42.7	37.0				42.0								216.0			44.7	47.8	46.6	37.4	229.0	0.0						27.7		26.6	26.2	28.5	25.0	26.2	25.8		26.9		60.1		20.0		23.9	58.5		58.5		20.0			23.1	23.5
Q86SE1																		16.9		18.5	18.9	18.9	16.9									18.1						19.2					18.5				18.9																								0.0																													
B3EWU8																																																																								0.0																												
D2Y2F4																					18.1	20.0										17.7																																127.0									0.0																											
P27204												22.3	21.2	20.8	18.5										18.5						17.7			18.5	17.3		20.8								17.3		18.5	17.3	18.1													18.1				35.4			18.5					0.0									18.1				18.1					21.9							17.7	18.1
S0F209																							18.1														17.3										17.3									16.5																			0.0	16.5											18.9													
D4A3K5											40.4	56.2	54.7	65.9	41.6	53.1	37.7		55.5						45.8								20.4				23.5		17.7						19.2	19.2	31.6	26.2	26.9	38.9				39.3			18.9					28.5			38.5		61.6	58.9	27.7	27.7					16.5	0.0		116.0	125.0	123.0	127.0	115.0	120.0		122.0		45.4		51.6		58.5	40.0	26.2	35.0		57.0		18.9	108.0	124.0
P04908	19.2	24.6	21.2	212.0	20.4	22.3	24.3		21.9	21.9			19.6													19.2		22.3	196.0	192.0	22.3								193.0	22.3	22.3	191.0	22.7	199.0	23.1				20.4												22.3																0.0									17.7		24.3		254.0					17.7		24.3			
P06349											36.2	45.4	43.5	47.4	40.4	43.1	30.8		44.7						45.4		22.7										24.6		17.7	18.1							30.0	28.9	27.7	33.9				36.6								27.3	18.5		32.7		50.8	51.6	27.7	26.6						116.0		0.0	103.0	101.0	111.0	104.0	189.0		316.0		41.6		43.5		40.8	36.6		33.5		51.6			167.0	202.0
P10412						18.9					52.8	57.0	50.8	51.2	40.8	58.2	36.2		61.6						48.9			23.1									25.0			18.9	22.7	19.6	17.7		25.4		26.9	25.8	29.6	35.4				34.7								23.1			44.3		60.1	53.9	28.5	26.2						125.0		103.0	0.0	348.0	186.0	159.0	141.0		120.0		45.1		46.2		52.4	43.5		37.0		58.9			122.0	145.0
P15865						18.1		16.2			54.3	58.9	52.4	53.1	43.1	59.3	36.2		62.4						48.1			17.7									24.6			24.3	21.2	19.2	18.9		22.3		28.9	27.7	31.6	35.0				35.0								28.1			44.3		61.2	55.8	31.2	28.5						123.0		101.0	348.0	0.0	183.0	160.0	140.0		118.0		44.7		46.2		52.4	43.1		37.0		58.9			124.0	144.0
P16402											50.8	57.8	50.8	52.8	41.6	58.2	36.6		61.6				18.5		48.5			19.6									23.9			17.7	20.0				20.0		28.1	27.3	28.1	35.8				35.0								22.7			43.1	18.5	60.5	55.8	25.0	25.0						127.0		111.0	186.0	183.0	0.0	157.0	125.0		117.0		43.9		46.2		54.3	42.0		35.4		59.7			123.0	129.0
P16403											51.2	57.0	50.4	52.0	42.7	60.8	39.3		64.3						47.8			21.9					19.6				24.3			22.7	19.2	22.3	22.7	18.9	20.0		28.1	27.3	29.3	38.1				35.0								24.3			44.3		60.5	54.7	26.6	26.2						115.0		104.0	159.0	160.0	157.0	0.0	125.0		116.0	21.9	43.9		45.8		52.0	42.4		34.3	21.6	58.5			124.0	131.0
P22492											40.4	47.0	45.1	47.0	36.6	46.2	33.9		48.1						43.9							19.6					23.5									18.5	23.9	30.4	33.9	28.5				37.7								28.1			40.8		61.2	49.7	27.3	25.8				18.1		120.0		189.0	141.0	140.0	125.0	125.0	0.0		174.0		42.0		43.5		43.1	34.7	19.6	36.6		49.3			204.0	320.0
P80294																							16.5																																	17.7																												0.0														16.5		
Q07133											37.4	47.8	46.2	48.9	45.1	43.9	31.6		45.8						45.1		21.2										24.3		18.1					17.3			31.2	32.0	27.7	34.3				36.6								27.7	18.5		36.2		51.2	52.8	28.1	26.9						122.0		316.0	120.0	118.0	117.0	116.0	174.0		0.0		42.7		46.2		41.6	37.4		34.3		52.4			166.0	203.0
Q0V7M1									18.5	20.8																				20.4											20.0	18.9	17.7	18.1	17.7		20.4														17.7																17.7					21.9				0.0			18.9	17.7		19.6	23.1		851.0					
Q3HNG7	18.1	17.7					17.3			20.0	53.5	62.8	65.9	64.3	46.2	59.3	38.1		58.9						30.0												35.0									32.7	32.7	44.3	36.6	45.8				41.2							18.1	68.6			50.1	34.3	63.2	64.7	63.9	60.1				18.1	18.9	45.4		41.6	45.1	44.7	43.9	43.9	42.0		42.7		0.0	17.3	23.5		19.6	296.0		150.0		28.1	17.3		29.6	32.3
Q64478	176.0	191.0	178.0	25.4	181.0	181.0	188.0		178.0	199.0											17.7	17.7		18.1	19.2			180.0	24.3	23.9	172.0						19.2		25.8	177.0	174.0	25.0	180.0	23.9	176.0														17.7		192.0																24.3										17.3	0.0		24.3						17.7	251.0			
Q75WM6											20.8	28.9	25.0	26.6	18.9	21.2	22.7		18.5				20.0																																							20.4	17.3		23.9	17.3	23.5	29.6	20.4	20.0						51.6		43.5	46.2	46.2	46.2	45.8	43.5		46.2	18.9	23.5		0.0		145.0	20.8	19.2		18.9	21.6		19.6	29.3	28.9
Q8CGP6	19.2	24.6	21.2	212.0	20.4	22.3	24.3		21.6	21.9			19.6													19.2		22.3	196.0	192.0	22.3								193.0	22.3	21.9	191.0	22.7	200.0	23.1				20.8												22.3																254.0									17.7		24.3		0.0					17.7		24.3			
Q8CJI4											24.6	29.6	23.9	31.6	20.8	27.3	23.1		26.2						26.9															20.0								21.6	18.5		16.9											29.6	17.7		26.2		27.7	27.3	24.3	23.9						58.5		40.8	52.4	52.4	54.3	52.0	43.1		41.6		19.6		145.0		0.0	19.6				21.9			31.6	28.9
Q8IZA3											52.4	60.5	59.3	64.3	42.4	56.2	37.7		56.6						28.5												35.8			18.9						40.8	33.9	41.6	41.2	45.8				38.9								63.9			48.9	35.0	63.9	61.2	59.7	58.5				21.9		40.0		36.6	43.5	43.1	42.0	42.4	34.7		37.4	19.6	296.0		20.8		19.6	0.0		175.0	20.8	29.3			28.5	32.0
Q8N1T3																				20.4	21.9	21.9				20.0	22.3							19.6	20.0			20.4																																						26.2							19.6			23.1			19.2				0.0		23.1					20.8
Q8VIK3				17.3							42.0	53.1	53.1	60.8	44.7	48.9	39.7		49.7						33.9			19.2	17.7				19.6				45.8									42.4	35.8	47.0	34.3	49.3				34.7		20.8						60.1			43.9	36.6	54.7	53.5	61.2	58.5						35.0		33.5	37.0	37.0	35.4	34.3	36.6		34.3		150.0					175.0		0.0		30.4			27.7	28.1
Q91YA2										20.8																				18.5												18.5	17.7		17.7									20.0							18.1																17.7					21.6				851.0			18.9	17.7		20.8	23.1		0.0					
Q92522											36.6	55.5	42.7	48.9	41.2	49.3	38.9		50.8				20.4		42.7							18.5	18.9				29.3						18.9			20.0	27.7	21.2	31.2	29.3				26.6								18.5			33.5		53.5	45.1	18.5	20.0						57.0		51.6	58.9	58.9	59.7	58.5	49.3		52.4		28.1	17.7	21.6		21.9	29.3		30.4		0.0	18.5	18.5	43.1	48.1
Q93079	176.0	192.0	178.0	25.4	181.0	181.0	188.0		177.0	199.0											17.7	17.7		18.5	19.2			181.0	24.3	23.9	172.0						20.0		26.2	177.0	174.0	25.0	180.0	23.9	176.0														17.3		192.0																24.3										17.3	251.0		24.3						18.5	0.0			
Q9ULR3	18.9		18.1					16.5							18.5															17.7						20.0								17.7										21.6					23.1				20.0													18.9								16.5					19.6							18.5		0.0		
P06348											39.3	49.7	45.1	47.4	42.0	43.9	32.3		45.8						40.4						18.9						26.9									18.5	30.4	30.8	29.3	28.9				35.0								25.8			34.7		52.4	47.8	24.3	23.1				17.7		108.0		167.0	122.0	124.0	123.0	124.0	204.0		166.0		29.6		29.3		31.6	28.5		27.7		43.1			0.0	253.0
P40286											42.0	50.8	45.8	49.3	38.1	44.3	31.6		46.6						42.7												22.7									18.5	25.4	32.7	32.7	31.6				37.4								25.8			36.6		57.4	50.4	24.6	23.5				18.1		124.0		202.0	145.0	144.0	129.0	131.0	320.0		203.0		32.3		28.9		28.9	32.0	20.8	28.1		48.1			253.0	0.0
